Molecule_ChEMBL_ID,Standard_Value,Smiles,molecule_class
CHEMBL2203383,8.0,Cn1ccc2cc(-c3nc4ccc(F)nc4o3)ccc21,active
CHEMBL1090210,8.0,O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C1CC1,active
CHEMBL236184,8.3,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL3891403,8.4,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC(F)(F)C3)cc1C21N=C(C)C(N)=N1,active
CHEMBL3899794,9.5,C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,active
CHEMBL3659992,10.0,CCS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,active
CHEMBL4534005,10.0,COc1cc(-c2cn(C3CCc4ccccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1ccc(C)n1,active
CHEMBL3629739,10.1,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,active
CHEMBL3935559,10.2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1,active
CHEMBL2203385,10.5,Cn1ccc2cc(-c3nc4ccc(F)nc4o3)cnc21,active
CHEMBL3672720,11.0,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CCC21CC1,active
CHEMBL240070,12.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL3937729,12.0,[C-]#[N+]c1cc(Cl)cc(-c2cc3c(cc2C)C[C@]2(CC[C@@H](OC)CC2)C32N=C(C)C(N)=N2)c1,active
CHEMBL2386724,12.0,C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL95,12.21,Nc1c2c(nc3ccccc13)CCCC2,active
CHEMBL3909054,12.9,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cncnc1,active
CHEMBL236182,13.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)[C@@H](C)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL2386726,13.0,C[C@]1(c2nc(NC(=O)c3nn(C(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL2203382,13.8,Fc1ccc2nc(-c3ccc4[nH]ccc4c3)oc2n1,active
CHEMBL3629738,13.9,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1c(F)ccc(F)c12,active
CHEMBL392059,14.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)C[C@@H]3C)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL2386719,14.0,C[C@]1(c2nc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL240071,14.0,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,active
CHEMBL2048305,14.0,CNc1ccc(-c2nc3ccc(OC)cc3s2)c(F)n1,active
CHEMBL1086287,14.0,O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,active
CHEMBL205907,15.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,active
CHEMBL236193,15.0,O=C(O[C@H]1CCC2CCCC1N2S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,active
CHEMBL3659994,15.0,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCO[C@@H](CCC(O)CO)[C@@H]1COc1c(F)ccc(F)c12,active
CHEMBL396543,16.0,O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,active
CHEMBL3672702,16.0,CC[C@@H](C)Oc1ccc2c(c1)C1(N=C(C)C(N)=N1)[C@]1(CC[C@H](OC)CC1)C2,active
CHEMBL3672729,16.0,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,active
CHEMBL3905561,16.5,COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,active
CHEMBL208350,17.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O,active
CHEMBL208504,17.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,active
CHEMBL3913223,17.0,CC#Cc1cncc(-c2cc3c(cc2C)C[C@]2(CC[C@@H](OC)CC2)C32N=C(C)C(N)=N2)c1,active
CHEMBL240284,17.0,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,active
CHEMBL236183,17.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL3800453,17.36,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,active
CHEMBL3984227,18.0,Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,active
CHEMBL3286985,18.0,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O,active
CHEMBL3286984,18.0,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O,active
CHEMBL3971184,18.7,O=c1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)c[nH]1,active
CHEMBL3672726,19.0,CO[C@H]1CC[C@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1,active
CHEMBL93124,19.0,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,active
CHEMBL1744460,19.0,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],active
CHEMBL4113786,19.0,C[C@]1(c2nc(NC(=O)c3ncc(C#CCO)cc3Cl)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL2048309,19.0,CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)c(F)n1,active
CHEMBL236188,20.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,active
CHEMBL394132,20.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(CCO)(OC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL570378,22.0,CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,active
CHEMBL3797706,22.54,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,active
CHEMBL3672718,23.0,CC1=NC2(N=C1N)c1cc(-c3cc(F)cc(C#N)c3)ccc1CCC21CC1,active
CHEMBL2203378,23.1,CNc1ccc(-c2nc3ccc(F)nc3o2)cc1,active
CHEMBL3629743,23.3,O=S(=O)(N1CC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)C1)C(F)(F)F,active
CHEMBL579205,24.0,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,active
CHEMBL2048308,24.0,CNc1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,active
CHEMBL3659995,25.0,O=C(C[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)NCC(F)(F)F,active
CHEMBL236186,25.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)cc1,active
CHEMBL236185,25.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(F)cc1,active
CHEMBL2203384,25.7,Fc1ccc2nc(-c3cnc4[nH]ccc4c3)oc2n1,active
CHEMBL3629742,26.4,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1c(F)ccc(F)c12,active
CHEMBL240069,27.0,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,active
CHEMBL1090209,27.0,O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C(F)(F)F,active
CHEMBL2386723,27.0,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL236189,27.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,active
CHEMBL1788111,27.0,[3H]N(c1ccc(-c2nc3ccc(O)cc3s2)cc1)C([3H])([3H])[3H],active
CHEMBL1778349,29.0,O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@]2(O)C1)C1CC1,active
CHEMBL382880,29.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,active
CHEMBL4110172,30.0,C[C@]1(c2nc(NC(=O)c3ncc(OCF)nc3N)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL424684,30.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,active
CHEMBL2048310,30.0,CNc1ncc(-c2cc3cc(O)ccc3o2)cc1F,active
CHEMBL2203387,30.2,Cn1ncc2cc(-c3nc4ccc(F)nc4o3)cnc21,active
CHEMBL3797363,30.74,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,active
CHEMBL2048311,32.0,COc1ccc2oc(-c3ccc(C(N)=O)nc3F)cc2c1,active
CHEMBL3286983,32.0,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Cl)c1O,active
CHEMBL236192,32.0,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1,active
CHEMBL3286987,32.0,COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O,active
CHEMBL2048314,32.0,CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)nc1F,active
CHEMBL2203288,32.5,COc1ccc(-c2nc3ccc(F)nc3o2)cc1,active
CHEMBL1084946,33.0,COc1ccc2cc(-c3ccc(C(N)=O)cn3)oc2c1,active
CHEMBL2048302,33.0,Oc1ccc2nc(-c3ccc(NCCF)nc3)sc2c1,active
CHEMBL2048300,35.0,COc1ccc2nc(-c3ccc(NCCF)nc3)oc2c1,active
CHEMBL1077208,35.0,CNc1ccc2nc(-c3ccc(C(N)=O)nc3)sc2c1,active
CHEMBL2048313,35.0,CNc1ccc(-c2cc3cc(O)ccc3o2)nc1F,active
CHEMBL2203388,35.8,Fc1ccc2nc(-c3ccc4ncsc4c3)oc2n1,active
CHEMBL3797381,37.36,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,active
CHEMBL3799641,38.96,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,active
CHEMBL393941,39.0,CC(C)(CO)N1CCN(C(=O)OC2([C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1,active
CHEMBL1088617,41.0,CN(C)c1ncc(-c2nc3ccc(O)cc3s2)cn1,active
CHEMBL2203381,41.8,CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cn1,active
CHEMBL2048312,44.0,NC(=O)c1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,active
CHEMBL2048304,44.0,CNc1ccc(-c2nc3ccc(O)cc3s2)nc1F,active
CHEMBL4115329,45.0,C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3N)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL1084943,45.0,CNc1ccc(-c2cc3ccc(O)cc3o2)cn1,active
CHEMBL236190,45.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,active
CHEMBL3798857,45.29,O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,active
CHEMBL2203389,45.3,Fc1ccc2nc(-c3ccc4cc[nH]c4c3)oc2n1,active
CHEMBL3799950,45.88,COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,active
CHEMBL398395,46.0,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,active
CHEMBL3798813,46.12,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,active
CHEMBL2203386,47.0,CN1CCc2cc(-c3nc4ccc(F)nc4o3)cnc21,active
CHEMBL240285,47.0,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL2203390,48.7,Cn1ncc2cc(-c3nc4ccc(F)nc4o3)ccc21,active
CHEMBL2386722,49.0,COCC[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL3800317,49.14,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,active
CHEMBL3799175,51.77,O=C(COC(=O)/C=C/c1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,active
CHEMBL3799558,51.81,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,active
CHEMBL410532,54.0,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,active
CHEMBL1085076,54.0,O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,active
CHEMBL3798989,55.86,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,active
CHEMBL3959097,56.0,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC(F)(F)F)cc1C21N=C(C)C(N)=N1,active
CHEMBL240286,56.0,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active
CHEMBL429449,57.0,CC(C)(CO)N1CCN(C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c2ccc(Cl)cc2)CC1,active
CHEMBL4111699,57.0,C[C@]1(c2nc(NC(=O)c3ncc(OCF)cc3Cl)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL3629741,57.7,O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CC1,active
CHEMBL1744459,58.0,[3H]N(c1ccc(-c2nc3ccc(OC)cc3s2)cn1)C([3H])([3H])[3H],active
CHEMBL1788121,58.0,[3H]N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],active
CHEMBL4111183,58.0,CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(Cl)c1,active
CHEMBL1084945,60.0,COc1ccc2cc(-c3ccc(C(N)=O)nc3)oc2c1,active
CHEMBL231248,60.0,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,active
CHEMBL4475538,60.0,CN1c2ccccc2Sc2cc(/C=C3/SC(=S)N(CC(=O)OCC4COC(C)(C)O4)C3=O)ccc21,active
CHEMBL4112705,60.0,C[C@]1(c2nc(NC(=O)c3ncc(C(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL4107314,62.0,C[C@]1(c2nc(NC(=O)c3ncc(C#CCO)cc3N)ccc2F)N=C(N)OCC1(F)F,active
CHEMBL3799703,65.5,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,active
